	Lineage
id1868794	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; Jeotgalibaca_arthritidis; 1868794
id2496265	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; Jeotgalibaca_ciconiae; 2496265
id708126	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; Jeotgalibaca_dankookensis; 708126
id2908211	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; Jeotgalibaca_MA1X17-3; 2908211
id1868793	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; Jeotgalibaca_porci; 1868793
id1903686	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; Jeotgalibaca_PTS2502; 1903686
id1470540	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; Jeotgalibaca_sp; 1470540
id1911586	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Marinilactibacillus; Marinilactibacillus_15R; 1911586
id186828	Bacteria; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; NA; Carnobacteriaceae_sp; 186828
id37734	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_casseliflavus; 37734
id44008	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_cecorum; 44008
id53345	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_durans; 53345
id1351	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_faecalis; 1351
id1352	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_faecium; 1352
id2060307	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_FDAARGOS_375; 2060307
id1353	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_gallinarum; 1353
id160453	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_gilvus; 160453
id1354	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_hirae; 1354
id357441	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_lactis; 357441
id71452	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_raffinosus; 71452
id1805431	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_saigonensis; 1805431
id1350	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus_sp; 1350
id51669	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; Tetragenococcus_halophilus; 51669
id526944	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus; Tetragenococcus_osmophilus; 526944
id2738	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus; Vagococcus_fluvialis; 2738
id81947	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus; Vagococcus_lutrae; 81947
id519472	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus; Vagococcus_teuberi; 519472
id2562451	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus; Vagococcus_xieshaowenii; 2562451
id81852	Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; NA; Enterococcaceae_sp; 81852
id1720083	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Acetilactobacillus; Acetilactobacillus_jinshanensis; 1720083
id392416	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Companilactobacillus; Companilactobacillus_crustorum; 392416
id938155	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Companilactobacillus; Companilactobacillus_futsaii; 938155
id53444	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Fructilactobacillus; Fructilactobacillus_lindneri; 53444
id3025672	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lacticaseibacillus_KACC_23028; 3025672
id1597	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus; Lacticaseibacillus_paracasei; 1597
id1590	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactiplantibacillus; Lactiplantibacillus_plantarum; 1590
id1600	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_acetotolerans; 1600
id1584	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_delbrueckii; 1584
id147802	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_iners; 147802
id33959	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_johnsonii; 33959
id1578	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_sp; 1578
id28038	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Latilactobacillus; Latilactobacillus_curvatus; 28038
id1599	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Latilactobacillus; Latilactobacillus_sakei; 1599
id2698683	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Leuconostoc; Leuconostoc_MTCC_10508; 2698683
id637971	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Levilactobacillus; Levilactobacillus_koreensis; 637971
id1622	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Ligilactobacillus; Ligilactobacillus_murinus; 1622
id1623	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Ligilactobacillus; Ligilactobacillus_ruminis; 1623
id1624	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Ligilactobacillus; Ligilactobacillus_salivarius; 1624
id2767887	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Ligilactobacillus; Ligilactobacillus_sp; 2767887
id1613	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; Limosilactobacillus_fermentum; 1613
id1598	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; Limosilactobacillus_reuteri; 1598
id2742598	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; Limosilactobacillus_sp; 2742598
id1254	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus; Pediococcus_acidilactici; 1254
id51663	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus; Pediococcus_damnosus; 51663
id304207	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Schleiferilactobacillus; Schleiferilactobacillus_harbinensis; 304207
id176292	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Secundilactobacillus; Secundilactobacillus_malefermentans; 176292
id137591	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Weissella; Weissella_cibaria; 137591
id46256	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Weissella; Weissella_hellenica; 46256
id33958	Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; NA; Lactobacillaceae_sp; 33958
id1359	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_cremoris; 1359
id1281486	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_formosensis; 1281486
id1363	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_garvieae; 1363
id1358	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis; 1358
id2816912	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_LG606; 2816912
id1940789	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_petauri; 1940789
id1364	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_piscium; 1364
id1366	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_raffinolactis; 1366
id1357	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_sp; 1357
id1319	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_'group_B'; 1319
id2598453	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_116-D4; 2598453
id2576376	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_1643; 2576376
id1326	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_acidominimus; 1326
id1311	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_agalactiae; 1311
id29389	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_alactolyticus; 29389
id1328	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_anginosus; 1328
id113107	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_australis; 113107
id1329	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_canis; 1329
id2173853	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_chenjunshii; 2173853
id76860	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_constellatus; 76860
id45634	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_cristatus; 45634
id1940319	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_DAT741; 1940319
id1334	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_dysgalactiae; 1334
id1336	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_equi; 1336
id2420308	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_FDAARGOS_520; 2420308
id2420309	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_FDAARGOS_521; 2420309
id2420310	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_FDAARGOS_522; 2420310
id1345	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_ferus; 1345
id315405	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_gallolyticus; 315405
id1302	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_gordonii; 1302
id1433513	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_gwangjuense; 1433513
id254785	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_halichoeri; 254785
id1814128	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_halotolerans; 1814128
id3020829	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_HN38; 3020829
id1316411	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_HSISS2; 1316411
id1316412	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_HSISS3; 1316412
id1156431	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_ilei; 1156431
id102684	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_infantarius; 102684
id68892	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_infantis; 68892
id1346	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_iniae; 1346
id1338	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_intermedius; 1338
id2598457	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_KS_6; 2598457
id684066	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_lactarius; 684066
id2610896	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_LPB0220; 2610896
id150055	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_lutetiensis; 150055
id59310	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_macedonicus; 59310
id1825069	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_marmotae; 1825069
id2759692	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_Marseille-Q3533; 2759692
id2972784	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_Marseille-Q6470; 2972784
id400065	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_merionis; 400065
id33040	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_milleri; 33040
id28037	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_mitis; 28037
id1309	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_mutans; 1309
id1902136	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_NPS_308; 1902136
id2763068	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_NSJ-72; 2763068
id712623	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_oral_taxon_061; 712623
id712633	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_oral_taxon_431; 712633
id1303	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_oralis; 1303
id2781599	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_oriscaviae; 2781599
id1811193	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_pantholopis; 1811193
id1318	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_parasanguinis; 1318
id1501662	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_parasuis; 1501662
id1348	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_parauberis; 1348
id197614	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_pasteurianus; 197614
id2490633	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_periodonticum; 2490633
id82348	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_pluranimalium; 82348
id1313	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_pneumoniae; 1313
id1340	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_porcinus; 1340
id257758	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_pseudopneumoniae; 257758
id361101	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_pseudoporcinus; 361101
id1314	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_pyogenes; 1314
id1341	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_ratti; 1341
id2021971	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_respiraculi; 2021971
id1234680	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_rubneri; 1234680
id1917441	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_ruminantium; 1917441
id1304	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_salivarius; 1304
id1305	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_sanguinis; 1305
id1310	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_sobrinus; 1310
id1301	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_sp; 1301
id1307	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_suis; 1307
id1308	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_thermophilus; 1308
id2819619	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_toyakuensis; 2819619
id1349	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_uberis; 1349
id149016	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_urinalis; 149016
id1343	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_vestibularis; 1343
id2664091	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_zg-86; 2664091
id1300	Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; NA; Streptococcaceae_sp; 1300
id186826	Bacteria; Bacillota; Bacilli; Lactobacillales; NA; NA; Lactobacillales_sp; 186826
id91061	Bacteria; Bacillota; Bacilli; NA; NA; NA; Bacilli_sp; 91061
id29360	Bacteria; Bacillota; Clostridia; Eubacteriales; Cellulosilyticaceae; Cellulosilyticum; Cellulosilyticum_lentocellum; 29360
id698776	Bacteria; Bacillota; Clostridia; Eubacteriales; Cellulosilyticaceae; Cellulosilyticum; Cellulosilyticum_sp; 698776
id2497860	Bacteria; Bacillota; Clostridia; Eubacteriales; Cellulosilyticaceae; Cellulosilyticum; Cellulosilyticum_WCF-2; 2497860
id3029174	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Caloramator; Caloramator_Dgby_cultured_2; 3029174
id3023090	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Caloramator; Caloramator_mosi_1; 3023090
id1970093	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_001; 1970093
id84022	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_aceticum; 84022
id1488	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_acetobutylicum; 1488
id29341	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_argentinense; 29341
id84023	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_autoethanogenum; 84023
id2212991	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_AWRP; 2212991
id1561	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_baratii; 1561
id1520	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_beijerinckii; 1520
id1491	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_botulinum; 1491
id1492	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_butyricum; 1492
id1155388	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_C1; 1155388
id217159	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_carboxidivorans; 217159
id1493	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_cellulovorans; 1493
id46867	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_chauvoei; 46867
id1494	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_cochlearium; 1494
id223919	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_diolis; 223919
id641107	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_DL-VIII; 641107
id332101	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_drakei; 332101
id238834	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_estertheticum; 238834
id36839	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_felsineum; 36839
id2068654	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_fermenticellae; 2068654
id1497	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_formicaceticum; 1497
id704125	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_gelidum; 704125
id36845	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_intestinale; 36845
id2483110	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_JN-1; 2483110
id1534	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_kluyveri; 1534
id1538	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_ljungdahlii; 1538
id2992805	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_LQ25; 2992805
id1702238	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_MF28; 1702238
id137838	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_neonatale; 137838
id1501	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_pasteurianum; 1501
id1502	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_perfringens; 1502
id169679	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_saccharobutylicum; 169679
id36745	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_saccharoperbutylacetonicum; 36745
id1548	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_scatologenes; 1548
id1485	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_sp; 1485
id1509	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_sporogenes; 1509
id394958	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_taeniosporum; 394958
id1513	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_tetani; 1513
id1519	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium_tyrobutyricum; 1519
id1490	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Paraclostridium; Paraclostridium_bifermentans; 1490
id2726954	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Sarcina; Sarcina_JB2; 2726954
id31979	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; NA; Clostridiaceae_sp; 31979
id53442	Bacteria; Bacillota; Clostridia; Eubacteriales; Eubacteriaceae; Eubacterium; Eubacterium_callanderi; 53442
id1736	Bacteria; Bacillota; Clostridia; Eubacteriales; Eubacteriaceae; Eubacterium; Eubacterium_limosum; 1736
id2041044	Bacteria; Bacillota; Clostridia; Eubacteriales; Eubacteriaceae; Eubacterium; Eubacterium_maltosivorans; 2041044
id1730	Bacteria; Bacillota; Clostridia; Eubacteriales; Eubacteriaceae; Eubacterium; Eubacterium_sp; 1730
id186806	Bacteria; Bacillota; Clostridia; Eubacteriales; Eubacteriaceae; NA; Eubacteriaceae_sp; 186806
id114527	Bacteria; Bacillota; Clostridia; Eubacteriales; Eubacteriales_Family_XIII._Incertae_Sedis; Mogibacterium; Mogibacterium_diversum; 114527
id1229621	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Anaerostipes; Anaerostipes_rhamnosivorans; 1229621
id2877527	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Blautia; Blautia_NBRC_113351; 2877527
id1796616	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Blautia; Blautia_pseudococcoides; 1796616
id185008	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Butyrivibrio; Butyrivibrio_hungatei; 185008
id830	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Butyrivibrio; Butyrivibrio_sp; 830
id66219	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_phytofermentans; 66219
id168384	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Marvinbryantia; Marvinbryantia_formatexigens; 168384
id166486	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Roseburia; Roseburia_intestinalis; 166486
id186803	Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; NA; Lachnospiraceae_sp; 186803
id1515	Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Acetivibrio; Acetivibrio_thermocellus; 1515
id236753	Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Fastidiosipila; Fastidiosipila_sanguinis; 236753
id1264	Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Ruminococcus; Ruminococcus_albus; 1264
id1263	Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Ruminococcus; Ruminococcus_sp; 1263
id1510	Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Thermoclostridium; Thermoclostridium_stercorarium; 1510
id216572	Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; NA; Oscillospiraceae_sp; 216572
id1496	Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides; Clostridioides_difficile; 1496
