taxon	SRR12823316	SRR12823317	SRR12823328	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823362	SRR12823373	SRR12823383	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823407	SRR12823408	SRR12823410	SRR12823411	SRR12823412	SRR12823430	SRR12823431	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	SRR12823315	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823340	SRR12823341	SRR12823342	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823401	SRR12823409	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	Kingdom	Phylum	Class	Order	Family	Genus	Species
Fusobacterium periodonticum	0	0	0	0	0	0	18	124	8	463	247	0	0	0	8	61	0	0	6	0	0	45	0	0	0	41	0	0	7	0	0	0	0	0	0	0	0	72	112	108	60	17	0	0	27	152	280	0	158	17	0	0	0	0	603	78	231	47	386	1498	3502	988	160	234	93	6	1966	830	1	0	288	0	41	2860	0	119	22	0	73	2	479	1780	690	85	417	0	0	0	0	5	0	0	5	119	0	106	9	0	143	229	77	123	0	83	0	0	0	9	0	72	0	7	218	29	225	96	266	49	164	458	79	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
Haemophilus influenzae/parainfluenzae	2	0	0	0	0	3	66	30	3	2167	98	4	0	0	2	49	36	0	7	91	6	57	204	106	30	267	0	0	0	0	0	27	0	0	5	0	12	73	15	93	220	64	0	14	109	188	679	24	0	24	6	0	0	0	2535	480	616	149	604	298	3012	385	95	236	246	0	4	1	46	77	49	0	71	53	0	113	15	0	35	2	63	385	368	40	125	0	0	0	0	0	0	0	87	123	21	152	61	22	111	252	134	58	0	147	0	164	11	108	3	23	0	3	511	74	446	38	113	81	793	199	59	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus influenzae/parainfluenzae
Neisseria cinerea/meningitidis/subflava	0	0	0	0	0	0	354	24	9	117	0	17	5	7	9	108	0	0	20	94	0	317	261	0	36	217	0	0	4	0	0	46	0	0	0	23	28	125	190	0	22	2	26	0	551	49	8	80	0	40	0	0	0	0	1363	317	406	0	0	941	0	821	64	494	15	0	35	4	114	0	13	0	0	51	2	12	0	0	491	121	0	0	0	50	673	0	0	0	0	71	0	0	45	44	89	3351	630	3	260	2790	53	486	0	18	0	21	114	1	3	5	0	0	224	0	468	36	160	0	0	312	41	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria cinerea/meningitidis/subflava
Haemophilus haemolyticus	0	0	4	0	6	26	248	29	0	1326	44	13	0	0	4	126	8	0	50	21	52	16	2	23	20	35	6	0	8	0	0	7	0	0	0	64	51	111	198	99	35	16	38	15	439	326	182	128	28	75	12	1	0	0	248	64	138	12	96	382	157	427	36	1062	52	21	294	112	306	576	16	0	548	281	0	5	870	1	41	81	100	107	77	86	219	0	0	0	0	99	0	5	97	673	6	293	203	7	298	394	225	408	4	776	0	139	211	438	19	18	0	0	902	317	282	2	49	634	96	108	14	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus
Acinetobacter baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri	0	8	0	755	58	57	382	332	47	0	955	55	0	0	896	0	0	118	131	27	0	88	340	117	551	17	0	1763	35	0	0	64	15	0	0	961	38	233	232	100	324	1364	13	44	74	112	9	195	874	389	68	4	0	0	0	21	2	0	39	0	53	10	9	0	0	557	0	0	128	0	0	0	6	0	11	81	0	0	20	0	0	1	0	57	24	0	0	0	0	23	0	926	2341	0	69	16	34	0	32	15	85	10	0	20	4	360	3	12	10	25	0	0	0	72	6	0	0	22	0	16	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri
Ralstonia insidiosa/pickettii/solanacearum/syzygii	0	0	0	4	0	1	0	0	0	0	16	0	0	0	0	0	0	0	8	0	0	4	64	0	0	0	15	63	0	46	0	3	12	17	0	17	44	0	29	180	0	6	3	6	12	18	0	0	14	7	0	0	0	2	0	10	5	0	36	3	0	0	0	1026	4	14	0	0	0	0	5807	0	11	0	0	0	0	3	0	3421	0	0	0	4	0	0	648	613	732	0	3	0	0	0	4	31	12	9	565	0	0	9	0	4	11	0	0	6	0	0	0	2869	0	0	0	57	0	0	3	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia insidiosa/pickettii/solanacearum/syzygii
Neisseriaceae Family	0	3	0	0	0	79	265	120	0	125	14	0	0	0	6	492	19	0	81	104	4	14	102	70	21	92	2	0	65	0	0	6	0	0	0	179	1539	621	113	272	1472	75	96	76	320	94	141	38	0	16	70	0	0	0	155	85	519	34	683	18	604	8	0	19	34	3	166	13	199	86	2870	0	47	25	8	419	12	0	0	10	45	48	26	10	166	0	0	0	0	28	0	0	293	98	0	73	0	16	29	34	29	91	0	366	0	75	72	112	20	790	0	23	189	443	24	10	6	121	446	4	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae		Neisseriaceae Family
Enhydrobacter aerosaccus	95	0	6	25	4	22	1275	314	4	12	0	7	11	0	79	91	23	0	0	410	4	6	0	687	52	69	0	105	12	77	0	30	0	16	0	196	171	22	25	875	5	23	3	108	737	136	7	3	24	412	4308	219	56	5	3	23	23	108	598	12	410	49	31	10	51	99	5	39	221	15	1639	0	0	27	48	266	4	5	71	0	20	0	16	56	44	0	0	0	0	5	0	20	9	15	0	11	91	11	11	94	15	42	0	5	0	29	49	9	65	212	14	8	20	101	36	0	5	94	8	23	49	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	Enhydrobacter aerosaccus
Neisseria flava/meningitidis/mucosa/pharyngis/sicca	0	0	0	35	0	93	51	33	0	0	2906	0	0	0	0	0	0	0	9	38	0	81	0	4	30	7	0	0	3	0	1	10	0	0	0	12	0	86	164	0	0	0	0	307	0	0	0	17	504	25	0	0	0	0	0	0	0	135	491	0	787	0	0	0	18	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	91	0	0	498	0	114	0	22	0	0	0	0	207	274	221	0	0	161	8185	3	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria flava/meningitidis/mucosa/pharyngis/sicca
Lactobacillus delbrueckii	0	0	0	4	0	2531	173	45	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	16	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4136	30	0	87	0	0	0	0	0	0	0	0	71	0	0	0	5	2	10	0	0	12	3397	1	0	391	0	0	0	8	0	0	2	0	0	378	62	42	26	0	17	0	0	0	0	0	53	0	0	1482	0	0	0	0	0	2	0	83	12	0	0	0	443	3	0	0	2	0	0	19	120	23	0	26	5	13	647	15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii
Burkholderia-Caballeronia-Paraburkholderia Genus	40	0	0	113	19	7	205	24	61	13	86	7	0	0	19	105	11	185	12	11	11	4	78	134	30	0	44	144	0	238	19	45	2	6	19	105	618	0	107	325	100	34	6	29	213	47	16	89	650	13	0	16	79	37	10	160	8	139	59	7	66	2	63	0	35	43	0	8	7	7	47	0	97	61	36	56	0	84	0	0	364	18	0	12	0	43	1206	2677	3137	2	0	0	0	17	38	95	359	28	3	0	0	0	5	10	62	250	166	93	0	13	2	31	135	33	12	3	0	9	32	0	22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Burkholderia-Caballeronia-Paraburkholderia Genus
Rothia mucilaginosa	2	0	0	0	0	37	98	33	23	70	184	0	0	0	13	72	7	0	15	99	0	8	29	51	2	337	0	0	4	2	0	0	0	0	5	34	1	94	82	33	0	0	0	30	88	4	45	20	40	36	2	0	0	0	677	201	193	79	82	190	156	354	72	4	0	43	339	27	171	0	75	0	83	206	0	0	3	0	189	13	235	548	3300	19	481	0	0	0	0	0	0	0	25	0	16	192	448	371	34	578	587	365	28	152	0	180	10	1	17	68	0	12	121	52	673	97	61	31	0	101	24	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
Cutibacterium acnes	42	0	39	0	0	0	12	0	0	0	0	0	11	0	12	0	1480	0	0	0	5	0	0	40	9	21	0	14	0	0	0	0	0	0	0	63	0	0	0	193	9	0	0	0	87	0	0	0	0	0	0	7	0	0	62	90	608	0	27	0	0	0	0	0	11	6	2	12	95	145	0	0	1118	12	50	144	75	45	109	38	92	40	26	32	157	0	0	102	0	26	7	0	1222	67	36	243	16	0	10	162	944	178	0	156	0	146	0	726	181	1530	12	0	137	784	13	0	0	1387	253	15	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
Streptococcus cristatus/sanguinis	0	0	3	43	0	40	395	226	17	837	935	10	2	0	76	168	34	30	17	956	7	106	206	29	32	12	0	0	0	0	0	61	0	0	0	99	12	142	142	60	203	207	594	67	943	228	44	22	35	188	37	0	0	0	88	72	112	20	173	93	145	103	47	64	212	13	206	9	1169	4	100	0	24	51	0	151	6	0	6	8	102	76	54	210	282	0	0	0	0	0	3	0	166	238	26	200	31	14	86	165	53	83	13	179	0	110	20	54	25	59	3	5	183	106	80	11	46	106	263	25	11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus cristatus/sanguinis
Staphylococcus aureus/epidermidis	0	0	0	0	0	0	20	0	9	6	0	0	2994	53	0	2	0	0	0	0	40	3	0	0	0	0	749	0	0	81	0	0	469	0	85	0	0	0	0	32	21	0	0	0	29	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7808	47	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus/epidermidis
Neisseria flavescens/perflava	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	28	55	0	24	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	82	0	0	4761	0	3939	543	6	3	17	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	18	4	0	0	0	0	0	0	0	0	0	0	0	547	0	0	21	1249	0	0	51	41	0	0	0	0	8	0	0	0	0	0	29	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria flavescens/perflava
Staphylococcus aureus	0	153	0	0	0	0	0	0	0	0	0	0	737	0	0	0	0	0	0	0	0	0	0	0	0	66	436	3869	0	1889	0	92	0	483	282	0	0	0	0	0	64	425	14	0	0	68	0	0	0	0	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	18	0	0	0	0	0	0	0	0	0	0	0	114	316	0	0	0	0	0	0	0	0	0	17	0	0	0	0	42	0	144	28	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
Comamonadaceae Family	21	0	3	479	25	145	493	1176	1077	4	153	79	17	0	475	61	1	43	15	80	0	18	1005	43	489	41	46	125	21	57	12	32	211	2	0	397	18	98	1491	57	31	100	8	48	87	51	55	230	330	265	0	0	6	1	5	23	4	39	26	2	33	6	7	9	14	22	0	5	31	0	8	0	4	2	128	30	0	7	6	18	20	6	0	48	17	0	0	0	0	7	0	3	40	0	18	27	170	15	26	52	2	23	5	0	2	189	21	3	14	55	0	0	29	155	6	5	3	50	22	12	7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		Comamonadaceae Family
Streptococcus australis/sanguinis	9	0	24	0	0	0	0	43	8	1150	4	2	10	0	0	76	12	0	8	5	0	35	0	0	16	100	0	0	348	0	0	0	0	0	12	6	0	67	20	0	10	3	2	0	29	116	281	3	0	19	0	0	0	3	331	173	123	100	37	40	125	146	33	52	181	4	309	80	0	6	22	0	4	266	41	110	0	0	19	4	31	77	97	159	413	0	0	0	0	18	0	0	34	216	0	16	105	0	160	39	3	42	7	37	0	9	0	0	2143	1278	31	5	214	23	605	37	184	23	49	58	33	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis/sanguinis
Mitochondria Family	35	0	158	23	0	60	594	381	109	2	24	10	0	0	129	447	77	0	3	1153	0	14	94	0	118	10	0	25	0	0	0	69	3	0	5	195	319	233	1266	26	136	146	0	29	22	6	0	58	90	45	237	0	0	0	15	38	10	60	123	8	45	10	67	16	201	675	0	0	150	9	17	0	37	62	9	71	7	1	44	43	24	17	70	79	8	0	0	0	0	22	0	6	993	23	0	4	133	40	16	0	20	363	0	3	61	201	22	56	2	62	0	38	62	179	17	1	2	19	0	8	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		Mitochondria Family
Moraxella catarrhalis/nonliquefaciens	0	0	0	13	0	5	0	3	17	4	10	17	0	0	221	0	0	17	0	0	0	3	0	0	5	0	0	74	0	0	0	0	0	0	0	133	10	32	0	0	11	0	16	13	0	0	16	248	8	37	0	0	0	0	1694	767	4429	19	0	214	18	104	50	53	8	13	0	0	40	75	0	0	96	0	0	0	0	0	0	42	0	0	0	0	32	0	0	0	0	3	0	0	10	106	12	1035	16	0	7	82	4	67	0	0	0	52	0	0	0	0	0	0	0	47	13	0	75	60	182	209	7	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis/nonliquefaciens
Veillonella parvula/rogosae/tobetsuensis	0	0	0	0	0	19	58	58	19	1009	796	7	0	0	20	0	0	3	9	146	0	18	0	9	0	227	0	56	8	0	0	3	0	0	24	22	7	78	68	0	106	112	367	32	71	68	535	34	19	23	0	0	0	0	62	65	57	0	209	492	441	404	108	0	0	6	378	180	64	3	151	0	0	291	27	54	104	0	0	18	154	654	728	0	56	0	0	0	0	0	0	0	4	3	21	57	23	0	10	50	19	31	2	91	0	12	0	50	9	109	0	10	171	84	160	219	23	124	416	28	4	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella parvula/rogosae/tobetsuensis
Veillonella Genus	19	0	63	0	0	0	0	0	0	0	0	21	0	0	0	141	68	0	1043	2	0	209	44	7	0	82	0	0	0	0	0	42	0	0	0	5	0	93	0	0	233	48	105	25	0	0	0	0	0	190	0	0	0	0	0	0	0	0	125	65	0	112	28	166	0	121	533	321	882	2	18	0	0	568	165	507	745	9	75	0	28	265	399	0	0	0	0	0	0	0	3	0	0	33	0	5	24	149	83	0	533	70	4	297	11	0	44	395	0	0	0	19	7	25	18	66	98	19	213	133	8	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella Genus
Granulicatella Genus	0	7	0	0	0	0	0	0	26	0	0	59	0	0	24	0	0	0	1404	0	0	680	0	0	0	178	0	0	2822	0	0	90	0	3	0	0	42	172	0	0	0	0	0	0	0	0	0	13	0	280	0	0	0	0	123	0	34	50	147	0	400	0	0	0	0	0	17	0	0	0	143	0	7	0	164	706	0	0	0	61	43	31	0	0	642	0	0	0	0	118	0	0	221	176	0	0	10	2	13	0	0	158	0	0	0	0	0	0	0	0	6	138	0	0	0	301	83	0	0	45	44	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella Genus
Peptoniphilus rhinitidis	15	0	0	0	5	0	0	62	0	0	0	0	0	1910	0	0	57	0	0	0	0	5	0	18	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	4	30	0	18	0	0	0	0	827	0	0	0	0	0	0	4	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	22	0	2	22	0	0	0	11	0	16	6092	10	57	27	8	0	0	28	8	0	10	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus rhinitidis
Prevotella_9 Genus	4	0	0	99	4	0	125	20	7	0	1	7	0	0	157	7	0	0	0	0	0	32	82	0	0	0	0	18	0	0	0	72	0	0	0	103	41	70	54	66	63	341	24	0	0	7	0	378	73	56	0	0	0	0	10	134	6	0	0	0	4	0	0	6	0	0	0	0	9	0	7	0	47	0	38	155	9	5	11	13	0	9	0	1	0	914	1949	748	224	0	10	8	94	68	73	0	99	31	0	42	82	358	15	23	0	0	0	3	0	3	7	0	264	156	1093	0	0	16	682	84	4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	Prevotella_9 Genus
Acinetobacter bouvetii/haemolyticus/johnsonii/lwoffii	8	7	0	315	50	23	221	309	26	0	154	5	0	0	168	22	9	61	54	9	0	20	35	35	148	26	0	839	10	0	0	34	0	0	6	330	65	57	120	39	604	1513	13	26	30	64	4	54	341	182	13	0	0	0	0	0	0	0	11	4	0	8	7	15	3	531	0	0	120	1	0	0	3	2	8	147	0	0	10	0	0	0	0	33	19	0	0	0	0	7	0	148	754	6	71	5	7	0	3	36	19	4	0	116	4	177	0	0	99	863	2	0	0	51	3	0	2	23	19	32	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bouvetii/haemolyticus/johnsonii/lwoffii
Lautropia mirabilis	0	0	0	0	0	21	152	115	1	245	2805	0	9	0	68	39	22	6	0	141	0	38	58	0	25	0	0	36	1	0	0	0	0	0	0	30	0	50	0	0	18	44	11	14	188	87	7	4	39	27	7	0	0	0	1	0	17	0	36	198	5	99	0	30	177	5	507	75	327	8	162	0	0	140	0	149	0	0	0	0	6	85	123	99	59	0	0	0	0	7	2	0	22	78	8	180	0	0	32	434	10	12	5	47	0	127	0	14	13	22	0	0	181	19	42	0	19	13	1203	26	3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia mirabilis
Deinococcus Genus	0	0	0	23	2	8	75	26	237	4	5	11	0	0	69	70	6948	0	0	585	0	3	3	0	79	2	0	0	8	0	0	8	34	0	0	67	69	16	268	0	0	7	0	0	0	52	0	79	47	10	0	0	0	0	0	61	0	0	54	0	0	8	0	0	0	0	0	0	1	2	0	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	4	0	22	0	0	2	6	0	0	0	13	7	0	0	0	0	3	0	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus Genus
Finegoldia Genus	1898	565	2	15	0	5	0	24	0	0	29	0	0	0	5	0	0	16	0	6	0	0	0	99	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	121	0	0	0	0	0	0	18	3	0	0	0	0	0	26	23	2	12	1766	0	3	25	57	0	431	3	0	0	0	0	0	0	258	0	0	0	0	816	9	0	0	0	0	0	0	1	5	33	0	0	5	0	0	23	0	0	11	2356	3	63	20	41	0	5	19	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	Finegoldia Genus
Veillonella dispar/parvula	34	0	0	20	0	23	40	37	49	253	2109	0	5	0	41	235	5	0	9	222	11	226	97	9	38	0	0	1	9	0	0	63	0	0	0	67	28	214	95	0	137	98	454	16	184	68	92	45	133	52	2	0	9	6	0	83	0	10	356	11	32	3	0	0	0	0	0	0	0	6	13	0	0	7	11	0	0	0	0	10	0	31	0	6	57	0	0	0	0	0	0	2	0	9	59	154	0	0	0	76	67	25	0	119	0	263	7	40	15	211	0	0	44	235	6	0	5	356	1119	9	10	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella dispar/parvula
Rhodobacteraceae Family	33	1	1	309	939	0	134	133	246	5	104	77	0	0	902	32	11	1468	60	20	0	58	292	10	32	13	0	121	9	0	0	246	18	0	0	548	22	274	397	56	34	32	2	176	141	12	4	336	352	498	1	0	0	0	0	0	0	0	0	0	35	10	0	0	14	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	5	0	0	0	0	0	0	0	0	0	5	0	31	0	23	0	27	0	0	0	0	104	5	22	4	3	0	0	0	20	6	0	0	40	0	5	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		Rhodobacteraceae Family
Kocuria assamensis/palustris	27	0	0	2032	0	13	11	41	13	0	412	14	3	0	70	23	0	0	10	45	0	90	45	30	0	5	0	6	0	18	0	202	16	0	0	37	0	200	32	0	200	45	26	9	0	16	0	10	512	91	0	0	3	0	0	9	0	0	36	0	0	5	4	0	973	3	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	2625	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	3	15	7	0	0	0	0	0	0	0	0	0	0	4	5	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Kocuria assamensis/palustris
Enterobacterales Order	0	42	0	108	9	39	364	120	1368	4	93	19	0	0	280	7	0	186	73	33	3	16	279	39	266	15	0	77	3	0	0	58	15	0	0	267	16	46	424	0	47	60	0	78	44	5	25	140	81	216	45	0	0	0	1	30	4	28	139	3	6	13	0	11	3	361	0	0	115	5	0	0	4	1	0	9	0	0	2	5	3	4	1	19	20	0	0	0	0	0	0	1	7	0	0	7	23	6	1	56	8	85	3	23	1	168	16	0	29	289	11	0	2	572	2	0	0	482	39	0	2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales			Enterobacterales Order
Actinomycetaceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	1	0	0	0	0	0	0	0	0	0	143	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	3	0	0	0	92	0	0	0	233	0	0	7	0	465	5	0	0	45	4	0	37	0	0	1280	0	3115	0	3	0	0	0	0	0	0	0	0	1205	429	0	0	25	0	0	0	0	3	0	0	50	6	0	0	0	0	0	0	93	0	0	0	0	0	0	154	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae		Actinomycetaceae Family
Prevotella Genus	0	0	0	27	4	13	96	49	13	364	122	0	0	0	149	107	0	10	95	87	0	171	25	12	25	34	0	35	7	0	0	80	10	0	0	47	3	351	157	0	58	70	20	14	102	38	304	197	54	121	0	0	0	0	34	165	27	1	55	175	317	114	14	143	32	56	14	8	43	0	31	607	0	47	0	41	3	0	120	3	0	0	6	23	76	449	283	0	0	0	4	18	35	77	13	141	75	0	36	146	87	143	0	177	0	32	5	41	10	126	0	1	59	30	23	3	1	0	69	17	5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella Genus
Methylobacterium-Methylorubrum Genus	13	2	0	91	0	91	105	331	1043	0	52	11	0	0	45	10	3	44	17	87	0	9	596	189	1395	8	0	42	18	0	0	18	30	5	0	107	7	8	1705	134	25	3	0	19	8	25	14	149	226	26	0	3	0	3	0	47	7	11	49	0	12	26	52	0	17	7	0	11	10	0	0	0	0	3	0	94	0	4	0	0	0	0	0	22	9	0	0	0	0	3	0	0	0	7	6	0	2	0	7	14	19	4	0	2	12	33	0	0	0	20	0	0	14	26	0	0	0	11	13	0	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Methylobacterium-Methylorubrum Genus
Actinomyces odontolyticus	8	3	22	1	1	9	58	43	56	399	28	5	0	0	14	60	25	10	71	207	0	267	22	24	3	107	0	0	0	6	0	31	0	0	0	8	28	56	18	23	63	49	204	6	89	64	110	67	0	48	0	0	0	2	140	25	40	37	28	27	30	131	26	203	99	18	53	25	22	5	49	0	9	112	0	209	510	7	99	0	97	191	544	94	237	0	0	0	0	15	0	0	6	72	4	53	109	99	138	117	134	79	14	55	0	0	4	220	7	64	1	3	97	82	216	160	21	27	62	23	6	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
Haemophilus Genus	7	0	0	7	0	0	22	2	2	0	61	0	0	0	5	38	13	14	0	46	0	15	0	0	0	126	0	0	0	14	0	0	0	0	0	0	49	63	0	84	81	59	70	0	35	18	81	14	75	0	0	0	5	0	42	0	14	0	79	655	391	729	73	4	199	0	0	2	14	95	92	0	85	0	0	1	66	0	0	0	543	512	253	192	378	0	0	0	0	24	0	0	53	40	0	15	33	30	3	63	4	20	5	50	0	212	0	149	2	0	0	0	393	5	476	24	8	62	48	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus Genus
Peptoniphilus harei	92	244	0	4	0	0	4	0	0	0	0	0	0	0	3	0	3	0	0	5	0	3	8	0	0	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	11	0	0	0	5	2	0	0	12	0	8	14	3	0	4	0	0	1	0	8	8	23	1168	16	0	0	36	8	0	0	4	0	9	0	0	0	0	0	0	0	0	3116	0	0	0	0	0	0	0	0	0	47	0	1956	12	0	0	0	0	1	26	2	14	19	4	67	11	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus harei
