	geneNAME	S1	S28	S6
K02415	fliL; flagellar protein FliL	197.66	9.52915	101.117
K02416	fliM; flagellar motor switch protein FliM	292.447	30.659	140.386
K02417	fliN; flagellar motor switch protein FliN	213.383	5.38604	148.731
K02418	fliO, fliZ; flagellar protein FliO/FliZ	66.0363	0	81.9737
K02419	fliP; flagellar biosynthesis protein FliP	203.949	14.9152	129.587
K02420	fliQ; flagellar biosynthesis protein FliQ	123.987	10.3578	63.321
K02421	fliR; flagellar biosynthesis protein FliR	159.026	29.4161	135.477
K02422	fliS; flagellar secretion chaperone FliS	169.358	2.48586	122.715
K02423	fliT; flagellar protein FliT	106.467	0	0
K02424	tcyA, tcyJ, fliY; L-cystine transport system substrate-binding protein	238.09	332.277	779.486
K02426	sufE; cysteine desulfuration protein SufE	60.6456	37.7023	89.8274
K02427	rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	145.1	43.9169	230.704
K02429	fucP; MFS transporter, FHS family, L-fucose permease	328.834	136.308	238.067
K02430	fucR; DeoR family transcriptional regulator, L-fucose operon activator	4.04304	0	35.8328
K02431	fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]	0	13.2579	20.6161
K02433	gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	1279.85	579.206	636.646
K02434	gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	574.561	707.229	575.288
K02435	gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	218.324	244.443	291.571
K02436	gatR; DeoR family transcriptional regulator, galactitol utilization operon repressor	1.79691	0	0
K02437	gcvH, GCSH; glycine cleavage system H protein	217.426	461.957	300.406
K02438	glgX; glycogen debranching enzyme [EC:3.2.1.196]	7.63685	91.5627	124.678
K02439	glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]	8.53531	0	140.386
K02440	GLPF; glycerol uptake facilitator protein	69.1809	616.909	932.143
K02441	glpG; rhomboid protease GlpG [EC:3.4.21.105]	0	0	37.7962
K02442	glpM; membrane protein GlpM	0	6.21466	0
K02443	glpP; glycerol uptake operon antiterminator	118.147	248.586	0
K02444	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	219.672	27.7588	254.266
K02445	glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter	128.479	678.641	256.72
K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]	162.171	42.674	62.3392
K02448	norD; nitric oxide reductase NorD protein	120.393	0	0
K02450	gspA; general secretion pathway protein A	78.6147	0	0
K02452	gspC; general secretion pathway protein C	46.7196	33.9735	0
K02453	gspD; general secretion pathway protein D	153.186	70.8471	55.4672
K02454	gspE; general secretion pathway protein E [EC:7.4.2.8]	205.297	92.8056	68.7204
K02455	gspF; general secretion pathway protein F	91.193	42.674	27.979
K02456	gspG; general secretion pathway protein G	84.0054	44.3313	26.9973
K02457	gspH; general secretion pathway protein H	35.0397	13.2579	0
K02458	gspI; general secretion pathway protein I	30.9966	33.5592	0
K02459	gspJ; general secretion pathway protein J	27.4028	21.5442	0
K02460	gspK; general secretion pathway protein K	40.8796	50.9602	0
K02461	gspL; general secretion pathway protein L	58.8487	55.932	0
K02462	gspM; general secretion pathway protein M	32.7935	18.644	0
K02463	gspN; general secretion pathway protein N	79.0639	16.5724	0
K02464	gspO; general secretion pathway protein O [EC:3.4.23.43 2.1.1.-]	0	27.7588	6.87204
K02466	gutM; glucitol operon activator protein	9.43376	0	19.6344
K02467	gutQ; arabinose 5-phosphate isomerase [EC:5.3.1.13]	1.79691	0	0
K02468	srlR, gutR; DeoR family transcriptional regulator, glucitol operon repressor	1.34768	0	10.7989
K02469	gyrA; DNA gyrase subunit A [EC:5.6.2.2]	1264.57	1173.74	1168.25
K02470	gyrB; DNA gyrase subunit B [EC:5.6.2.2]	747.064	1117.4	1265.44
K02471	bacA, bclA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	69.6301	0	349.002
K02472	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	203.05	348.435	167.874
K02473	wbpP; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]	336.022	18.2297	31.9059
K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]	670.695	36.8737	235.122
K02475	K02475; two-component system, CitB family, response regulator	61.0948	33.5592	33.3785
K02476	K02476; two-component system, CitB family, sensor kinase [EC:2.7.13.3]	77.267	149.981	54.4855
K02477	K02477; two-component system, LytTR family, response regulator	447.43	55.1033	21.107
K02478	K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]	159.475	33.5592	6.87204
K02479	K02479; two-component system, NarL family, response regulator	9.88299	547.305	155.112
K02480	K02480; two-component system, NarL family, sensor kinase [EC:2.7.13.3]	100.178	289.189	0
K02481	flgR; two-component system, NtrC family, response regulator	196.761	132.579	107.989
K02482	flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	28.7505	0	25.0339
K02483	K02483; two-component system, OmpR family, response regulator	1150.47	491.787	349.002
K02484	K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	338.717	544.404	214.506
K02485	rssB, hnr; two-component system, response regulator	8.08608	0	0
K02488	pleD; two-component system, cell cycle response regulator [EC:2.7.7.65]	34.1412	0	112.407
K02491	kinA; two-component system, sporulation sensor kinase A [EC:2.7.13.3]	25.1567	0	0
K02492	hemA; glutamyl-tRNA reductase [EC:1.2.1.70]	349.498	459.885	308.751
K02493	hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]	278.52	577.549	602.285
K02494	lolB; outer membrane lipoprotein LolB	119.494	10.3578	146.276
K02495	hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	7.18763	0	85.4097
K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	222.367	0	277.336
K02497	hemX; HemX protein	0	215.856	0
K02498	hemY; HemY protein	176.097	0	215.488
K02499	yabN; tetrapyrrole methylase family protein / MazG family protein	210.238	299.961	247.884
K02500	hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	335.572	262.259	331.331
K02501	hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	223.266	218.342	224.814
K02502	hisZ; ATP phosphoribosyltransferase regulatory subunit	438.445	285.46	265.555
K02503	HINT1, hinT, hit; histidine triad (HIT) family protein	290.2	459.471	454.537
K02504	hofB; protein transport protein HofB	13.4768	0	123.697
K02505	hofC; protein transport protein HofC	0	0	112.407
K02506	hofD, hopD; leader peptidase HopD [EC:3.4.23.43]	0	0	83.4462
K02507	hofQ; protein transport protein HofQ	0	37.7023	207.143
K02508	hpaA; AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein	0	0	28.4699
K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]	36.3874	34.3878	5.39946
K02510	hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	196.312	212.956	5.39946
K02517	lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	369.714	130.922	367.163
K02518	infA; translation initiation factor IF-1	325.689	290.432	294.516
K02519	infB, MTIF2; translation initiation factor IF-2	729.993	1172.5	1101.49
K02520	infC, MTIF3; translation initiation factor IF-3	289.751	390.695	599.831
K02521	ilvY; LysR family transcriptional regulator, positive regulator for ilvC	0	0	41.2323
K02523	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]	330.631	44.7456	296.97
K02525	kdgR; LacI family transcriptional regulator, kdg operon repressor	49.8642	65.0468	203.216
K02526	kdgT; 2-keto-3-deoxygluconate permease	327.037	0	126.151
K02527	kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	257.407	67.5327	382.871
K02528	ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	341.412	477.7	690.64
K02529	lacI, galR; LacI family transcriptional regulator	1151.37	1392.5	2149.48
K02530	lacR; DeoR family transcriptional regulator, lactose phosphotransferase system repressor	73.2239	364.179	288.135
K02531	lacT; transcriptional antiterminator	0	178.982	185.545
K02532	lacY; MFS transporter, OHS family, lactose permease	15.2737	0	30.9242
K02533	lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-]	142.854	19.4726	63.8118
K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	190.921	41.8454	173.765
K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	244.829	67.1183	346.547
K02538	manR; mannose operon transcriptional activator	0	312.805	236.595
K02545	mecA; penicillin-binding protein 2 prime [EC:3.4.16.4]	0	104.406	0
K02546	mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein	0	71.2615	0
K02547	mecR1; methicillin resistance protein	0	84.5194	0
K02548	menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]	72.3255	487.229	499.205
K02549	menC; o-succinylbenzoate synthase [EC:4.2.1.113]	242.133	556.005	205.18
K02551	menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]	126.233	638.867	262.61
K02552	menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]	63.7902	490.13	234.14
K02553	rraA, menG; regulator of ribonuclease activity A	9.43376	11.1864	139.895
K02554	mhpD; 2-keto-4-pentenoate hydratase [EC:4.2.1.80]	30.9966	55.1033	0
K02556	motA; chemotaxis protein MotA	382.292	19.0583	110.444
K02557	motB; chemotaxis protein MotB	363.424	26.5159	193.89
K02558	mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]	197.66	60.0751	320.532
K02560	lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	2.24613	0	175.237
K02562	mtlR; mannitol operon repressor	0	0	16.6892
K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	399.362	603.651	787.34
K02564	nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]	335.123	560.148	786.849
K02565	nagC; N-acetylglucosamine repressor	0	0	27.979
K02566	nagD; 5'-nucleotidase [EC:3.1.3.5]	34.1412	0	36.3237
K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]	222.367	0	404.96
K02568	napB; nitrate reductase (cytochrome), electron transfer subunit	50.3134	0	68.7204
K02569	napC; cytochrome c-type protein NapC	80.8608	0	151.676
K02570	napD; periplasmic nitrate reductase NapD	13.4768	0	77.065
K02572	napF; ferredoxin-type protein NapF	0	0	74.6107
K02573	napG; ferredoxin-type protein NapG	141.506	0	115.843
K02574	napH; ferredoxin-type protein NapH	54.8056	0	141.368
K02575	NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter	323.443	729.601	4.9086
K02584	nifA; Nif-specific regulatory protein	101.525	0	1.96344
K02585	nifB; nitrogen fixation protein NifB	203.5	0	0
K02586	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	382.741	0	9.32634
K02587	nifE; nitrogenase molybdenum-cofactor synthesis protein NifE	158.577	0	0
K02588	nifH; nitrogenase iron protein NifH	210.687	0	0
K02589	nifHD1, nifI1; nitrogen regulatory protein PII 1	88.9469	0	0
K02590	nifHD2, nifI2; nitrogen regulatory protein PII 2	33.2428	0	0
K02591	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	475.282	0	0
K02592	nifN; nitrogenase molybdenum-iron protein NifN	232.699	0	0
K02594	nifV; homocitrate synthase NifV [EC:2.3.3.14]	117.248	0	0
K02596	nifX; nitrogen fixation protein NifX	26.0551	0	0
K02598	nirC; nitrite transporter	146.897	211.713	124.678
K02600	nusA; transcription termination/antitermination protein NusA	474.833	580.449	730.891
K02601	nusG; transcription termination/antitermination protein NusG	246.176	408.51	542.401
K02609	paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]	283.911	9.11484	2.4543
K02610	paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB	91.193	9.52915	0
K02611	paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]	187.777	18.644	6.38118
K02612	paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD	93.4391	13.6723	0
K02613	paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE	210.238	104.406	19.1435
K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]	130.276	97.363	118.297
K02615	paaJ; 3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]	1.79691	0	0
K02616	paaX; phenylacetic acid degradation operon negative regulatory protein	168.46	76.2332	0
K02617	paaY; phenylacetic acid degradation protein	4.04304	52.2032	7.85376
K02618	paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]	1.79691	62.1466	1.96344
K02619	pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]	357.584	347.192	175.728
K02621	parC; topoisomerase IV subunit A [EC:5.6.2.2]	555.693	923.913	1071.55
K02622	parE; topoisomerase IV subunit B [EC:5.6.2.2]	461.356	505.045	944.415
K02623	pcaQ; LysR family transcriptional regulator, pca operon transcriptional activator	96.5837	0	0
K02624	pcaR; IclR family transcriptional regulator, pca regulon regulatory protein	297.388	77.4761	0
K02625	pcaT; MFS transporter, MHS family, dicarboxylic acid transporter PcaT	1.79691	39.7738	0
K02626	pdaD; arginine decarboxylase [EC:4.1.1.19]	0	0	33.3785
K02639	petF; ferredoxin	0	26.9302	0
K02641	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]	142.854	0	0
K02647	cdaR; carbohydrate diacid regulator	155.432	78.7191	198.308
K02650	pilA; type IV pilus assembly protein PilA	115.451	31.4876	257.211
K02651	flp, pilA; pilus assembly protein Flp/PilA	149.143	30.2447	103.571
K02652	pilB; type IV pilus assembly protein PilB	288.853	316.533	249.848
K02653	pilC; type IV pilus assembly protein PilC	287.954	83.6908	304.333
K02654	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	324.342	285.874	521.294
K02655	pilE; type IV pilus assembly protein PilE	0	25.6873	129.587
K02656	pilF; type IV pilus assembly protein PilF	0	48.4744	161.493
K02657	pilG; twitching motility two-component system response regulator PilG	0	6.62897	0
K02658	pilH; twitching motility two-component system response regulator PilH	5.83995	10.7721	0
K02659	pilI; twitching motility protein PilI	0	14.9152	0
K02660	pilJ; twitching motility protein PilJ	13.0276	39.3595	0
K02662	pilM; type IV pilus assembly protein PilM	109.162	45.9885	239.049
K02663	pilN; type IV pilus assembly protein PilN	24.2582	11.6007	187.509
K02664	pilO; type IV pilus assembly protein PilO	73.6732	32.3162	39.7597
K02665	pilP; type IV pilus assembly protein PilP	0	10.3578	40.2505
K02666	pilQ; type IV pilus assembly protein PilQ	11.6799	48.8887	585.596
K02667	pilR, pehR; two-component system, NtrC family, response regulator PilR	0	41.0168	80.0102
K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]	115.451	58.8321	116.825
K02669	pilT; twitching motility protein PilT	221.918	51.7888	205.67
K02670	pilU; twitching motility protein PilU	10.7814	48.0601	211.561
K02671	pilV; type IV pilus assembly protein PilV	0	21.9585	44.6683
K02672	pilW; type IV pilus assembly protein PilW	33.692	48.4744	51.5403
K02673	pilX; type IV pilus assembly protein PilX	0	0	51.0495
K02674	pilY1; type IV pilus assembly protein PilY1	0	75.8189	345.566
K02676	pilZ; type IV pilus assembly protein PilZ	0	18.2297	42.214
K02679	ppdA; prepilin peptidase dependent protein A	8.08608	0	77.065
K02680	ppdB; prepilin peptidase dependent protein B	0	0	69.2113
K02681	ppdC; prepilin peptidase dependent protein C	0	0	62.8301
K02682	ppdD; prepilin peptidase dependent protein D	0	0	64.7935
K02686	priB; primosomal replication protein N	116.799	0	50.0677
K02687	prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]	354.44	384.48	767.705
K02688	prpR; transcriptional regulator, propionate catabolism operon regulatory protein	260.551	0	295.007
K02742	sprT; SprT protein	0	0	67.2478
K02744	agaF; N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-]	60.6456	74.5759	253.775
K02745	agaV; N-acetylgalactosamine PTS system EIIB component [EC:2.7.1.-]	26.0551	66.704	115.352
K02746	agaW; N-acetylgalactosamine PTS system EIIC component	44.0242	232.014	441.283
K02747	agaE; N-acetylgalactosamine PTS system EIID component	19.766	85.348	162.475
K02750	glvC, malP, aglA; alpha-glucoside PTS system EIICB component [EC:2.7.1.208 2.7.1.-]	110.061	270.545	94.736
K02753	ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component [EC:2.7.1.-]	25.6059	0	0
K02755	bglFa; beta-glucoside PTS system EIIA component [EC:2.7.1.-]	194.515	506.288	671.988
K02757	bglF, bglP; beta-glucoside PTS system EIICBA component [EC:2.7.1.-]	194.515	506.288	544.364
K02759	celC, chbA; cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]	65.1379	306.176	339.184
K02760	celA, chbB; cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]	97.9314	143.766	312.678
K02761	celB, chbC; cellobiose PTS system EIIC component	252.915	528.246	1152.05
K02765	gamP; D-glucosamine PTS system EIICBA component [EC:2.7.1.-]	0	661.654	0
K02768	fruB; fructose PTS system EIIA component [EC:2.7.1.202]	198.109	985.645	523.748
K02769	fruAb; fructose PTS system EIIB component [EC:2.7.1.202]	205.297	1046.13	912.509
K02770	fruA; fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]	224.164	888.697	586.087
K02773	gatA, sgcA; galactitol PTS system EIIA component [EC:2.7.1.200]	10.7814	142.523	19.6344
K02774	gatB, sgcB; galactitol PTS system EIIB component [EC:2.7.1.200]	24.7075	149.981	86.3914
K02775	gatC, sgcC; galactitol PTS system EIIC component	114.553	241.129	140.877
K02777	crr; sugar PTS system EIIA component [EC:2.7.1.-]	76.8178	643.425	947.851
K02778	ptsGb; glucose PTS system EIIB component [EC:2.7.1.199]	26.5044	265.988	315.623
K02779	ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]	26.5044	265.988	315.623
K02781	srlB; glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]	13.4768	0	164.929
K02782	srlE; glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]	15.7229	0	104.553
K02783	srlA; glucitol/sorbitol PTS system EIIC component	23.809	0	130.078
K02784	ptsH; phosphocarrier protein HPr	12.1291	0	88.8457
K02786	lacF; lactose PTS system EIIA component [EC:2.7.1.207]	6.28917	231.185	142.349
K02788	lacE; lactose PTS system EIICB component [EC:2.7.1.207]	14.3753	500.487	232.668
K02791	malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]	26.9536	927.642	378.944
K02793	manXa; mannose PTS system EIIA component [EC:2.7.1.191]	118.596	369.151	707.33
K02794	manX; mannose PTS system EIIAB component [EC:2.7.1.191]	93.8884	306.176	767.214
K02795	manY; mannose PTS system EIIC component	124.436	296.647	659.225
K02796	manZ; mannose PTS system EIID component	34.1412	308.247	705.857
K02798	cmtB; mannitol PTS system EIIA component [EC:2.7.1.197]	58.8487	100.263	191.435
K02800	mtlA, cmtA; mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]	58.8487	205.912	258.683
K02803	nagEb; N-acetylglucosamine PTS system EIIB component [EC:2.7.1.193]	52.1103	253.558	81.9737
K02804	nagE; N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]	52.1103	253.558	87.3731
K02805	wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]	102.873	0	79.0285
K02806	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	155.432	0	122.715
K02810	scrA, sacP, sacX, ptsS; sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211]	109.162	884.139	831.026
K02814	sorA, sorC; sorbose PTS system EIIC component	11.6799	24.8586	0
K02815	sorM, sorD; sorbose PTS system EIID component	0	0	3.92688
K02819	treB, treP; trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]	130.276	424.254	361.764
K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]	115.9	286.703	321.513
K02822	ulaB, sgaB; ascorbate PTS system EIIB component [EC:2.7.1.194]	0	190.997	496.26
K02823	pyrDII; dihydroorotate dehydrogenase electron transfer subunit	132.971	117.25	338.694
K02824	uraA, pyrP; uracil permease	439.344	644.253	724.019
K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	81.7592	328.134	631.246
K02826	qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]	0	246.515	0
K02827	qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]	0	297.061	0
K02828	qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]	0	169.039	0
K02829	qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]	0	241.129	0
K02834	rbfA; ribosome-binding factor A	260.102	416.797	544.855
K02835	prfA, MTRF1, MRF1; peptide chain release factor 1	396.218	548.962	698.494
K02836	prfB; peptide chain release factor 2	406.101	585.421	687.204
K02837	prfC; peptide chain release factor 3	445.184	589.15	1024.92
K02838	frr, MRRF, RRF; ribosome recycling factor	247.973	413.068	573.816
K02839	prfH; peptide chain release factor	28.7505	0	0
K02840	waaB, rfaB; UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]	0	89.9054	0
K02841	waaC, rfaC; lipopolysaccharide heptosyltransferase I [EC:2.4.99.23]	154.983	0	175.728
K02843	waaF, rfaF; lipopolysaccharide heptosyltransferase II [EC:2.4.99.24]	328.385	22.3728	340.166
K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]	168.909	0	0
K02846	solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]	11.6799	0	0
K02847	waaL, rfaL; O-antigen ligase [EC:2.4.1.-]	362.975	38.9452	15.2167
K02849	waaQ, rfaQ; lipopolysaccharide heptosyltransferase III [EC:2.4.99.25]	6.28917	0	0
K02851	wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]	543.564	467.343	512.949
K02852	wecG, rffM; UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]	5.83995	0	81.9737
K02853	wzyE, rffT; enterobacterial common antigen polymerase [EC:2.4.1.-]	8.53531	0	56.4489
K02854	rhaR; AraC family transcriptional regulator, L-rhamnose operon transcriptional activator RhaR	0	26.1016	0
K02856	rhaT; L-rhamnose-H+ transport protein	62.4425	24.4443	0
K02858	ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]	252.016	56.7606	21.5978
K02859	ribT; riboflavin biosynthesis RibT protein	0	0	92.7726
K02860	rimM; 16S rRNA processing protein RimM	269.087	377.851	584.614
K02863	RP-L1, MRPL1, rplA; large subunit ribosomal protein L1	238.09	501.316	463.372
K02864	RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10	274.028	408.925	642.045
K02867	RP-L11, MRPL11, rplK; large subunit ribosomal protein L11	199.457	402.296	463.863
K02871	RP-L13, MRPL13, rplM; large subunit ribosomal protein L13	177.894	374.123	596.395
K02874	RP-L14, MRPL14, rplN; large subunit ribosomal protein L14	224.613	325.648	425.576
K02876	RP-L15, MRPL15, rplO; large subunit ribosomal protein L15	193.167	357.965	448.646
K02878	RP-L16, MRPL16, rplP; large subunit ribosomal protein L16	137.913	306.59	353.419
K02879	RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17	238.539	423.426	404.96
K02881	RP-L18, MRPL18, rplR; large subunit ribosomal protein L18	158.128	261.844	333.785
K02884	RP-L19, MRPL19, rplS; large subunit ribosomal protein L19	221.019	452.842	637.137
K02886	RP-L2, MRPL2, rplB; large subunit ribosomal protein L2	331.08	419.697	579.706
K02887	RP-L20, MRPL20, rplT; large subunit ribosomal protein L20	236.293	423.011	472.207
K02888	RP-L21, MRPL21, rplU; large subunit ribosomal protein L21	171.155	325.648	551.236
K02890	RP-L22, MRPL22, rplV; large subunit ribosomal protein L22	137.913	265.573	282.245
K02892	RP-L23, MRPL23, rplW; large subunit ribosomal protein L23	168.46	185.611	269.482
K02895	RP-L24, MRPL24, rplX; large subunit ribosomal protein L24	147.796	260.601	353.419
K02897	RP-L25, rplY; large subunit ribosomal protein L25	469.442	310.733	415.268
K02899	RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27	194.964	266.402	436.866
K02902	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28	162.171	490.544	583.633
K02904	RP-L29, rpmC; large subunit ribosomal protein L29	56.1533	107.306	181.618
K02906	RP-L3, MRPL3, rplC; large subunit ribosomal protein L3	211.586	378.266	613.084
K02907	RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30	106.916	131.751	225.796
K02909	RP-L31, rpmE; large subunit ribosomal protein L31	239.887	470.657	762.797
K02911	RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32	171.605	341.392	437.847
K02913	RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33	169.358	646.739	530.129
K02914	RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34	158.128	361.693	168.856
K02916	RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35	154.534	222.485	294.516
K02919	RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36	111.857	23.6157	78.0468
K02926	RP-L4, MRPL4, rplD; large subunit ribosomal protein L4	238.09	343.878	453.064
K02931	RP-L5, MRPL5, rplE; large subunit ribosomal protein L5	276.274	374.951	467.79
K02933	RP-L6, MRPL6, rplF; large subunit ribosomal protein L6	252.016	387.381	583.142
K02935	RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12	275.376	422.597	610.63
K02939	RP-L9, MRPL9, rplI; large subunit ribosomal protein L9	230.902	290.432	503.132
K02945	RP-S1, rpsA; small subunit ribosomal protein S1	694.954	749.074	931.162
K02946	RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10	276.724	364.179	615.048
K02948	RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11	205.297	268.888	408.396
K02950	RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12	305.923	341.392	600.322
K02952	RP-S13, rpsM; small subunit ribosomal protein S13	212.035	319.848	487.424
K02954	RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14	91.193	568.02	429.503
