Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolate	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study
SRR12823360	AMPLICON	602	26017838	PRJNA669115	SAMN16434719	Metagenome or environmental	17359014	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"s3,ncbi,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291034	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	161	skin	41.85 N 87.65 W	23-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:05:00Z	1	Amato-344-HSAP-USA-19-MM-23-AP-DRY-F	SRP287343
SRR12823361	AMPLICON	602	32571812	PRJNA669115	SAMN16434723	Metagenome or environmental	21495485	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"ncbi,s3,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291033	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	165	skin	41.85 N 87.65 W	23-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-343-HSAP-USA-19-MM-23-HA-DRY-F	SRP287343
SRR12823362	AMPLICON	602	27493942	PRJNA669115	SAMN16434763	Metagenome or environmental	18246928	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291032	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	205	skin	19.18 N 96.14 W	5-MEX-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-192-HSAP-MEX-19-MM-5-HA-DRY-F	SRP287343
SRR12823363	AMPLICON	602	19696838	PRJNA669115	SAMN16434717	Metagenome or environmental	12997844	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291031	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	159	skin	41.85 N 87.65 W	22-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-342-HSAP-USA-19-MM-22-HA-DRY-F	SRP287343
SRR12823364	AMPLICON	602	23972242	PRJNA669115	SAMN16434655	Metagenome or environmental	15871249	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"ncbi,gs,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291030	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	97	skin	41.85 N 87.65 W	18-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-341-HSAP-USA-19-MM-18-AP-DRY-F	SRP287343
SRR12823365	AMPLICON	602	28652190	PRJNA669115	SAMN16434715	Metagenome or environmental	18947739	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291029	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	157	skin	41.85 N 87.65 W	22-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-340-HSAP-USA-19-MM-22-FH-DRY-F	SRP287343
SRR12823366	AMPLICON	602	22316140	PRJNA669115	SAMN16434713	Metagenome or environmental	14819125	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291028	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	155	skin	41.85 N 87.65 W	22-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-339-HSAP-USA-19-MM-22-AP-DRY-F	SRP287343
SRR12823367	AMPLICON	602	28356608	PRJNA669115	SAMN16434693	Metagenome or environmental	18728873	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291027	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	135	skin	41.85 N 87.65 W	20-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-337-HSAP-USA-19-MM-20-HA-DRY-F	SRP287343
SRR12823368	AMPLICON	602	32359306	PRJNA669115	SAMN16434577	Metagenome or environmental	21528383	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291026	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	19	skin	41.85 N 87.65 W	10-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-335-HSAP-USA-19-MM-10-AP-DRY-F	SRP287343
SRR12823369	AMPLICON	602	27906312	PRJNA669115	SAMN16434689	Metagenome or environmental	18407343	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291025	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	131	skin	41.85 N 87.65 W	20-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-336-HSAP-USA-19-MM-20-AP-DRY-F	SRP287343
SRR12823370	AMPLICON	602	61050024	PRJNA669115	SAMN16434691	Metagenome or environmental	39950771	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"gs,s3,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291024	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	133	skin	41.85 N 87.65 W	20-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-334-HSAP-USA-19-MM-20-FH-DRY-F	SRP287343
SRR12823371	AMPLICON	602	32819234	PRJNA669115	SAMN16434579	Metagenome or environmental	21412825	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"gs,s3,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291023	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	21	skin	41.85 N 87.65 W	10-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-333-HSAP-USA-19-MM-10-FH-DRY-F	SRP287343
SRR12823372	AMPLICON	602	42426552	PRJNA669115	SAMN16434743	Metagenome or environmental	28391633	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"ncbi,gs,s3"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291022	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	185	skin	41.85 N 87.65 W	3-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-332-HSAP-USA-19-MM-3-AP-DRY-F	SRP287343
SRR12823373	AMPLICON	602	24760260	PRJNA669115	SAMN16434751	Metagenome or environmental	16255744	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"s3,gs,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291021	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	193	skin	19.18 N 96.14 W	4-MEX-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-191-HSAP-MEX-19-MM-4-FH-DRY-F	SRP287343
SRR12823374	AMPLICON	602	33408592	PRJNA669115	SAMN16434745	Metagenome or environmental	21904586	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"ncbi,s3,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291020	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	187	skin	41.85 N 87.65 W	3-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-331-HSAP-USA-19-MM-3-FH-DRY-F	SRP287343
SRR12823375	AMPLICON	602	30266754	PRJNA669115	SAMN16434801	Metagenome or environmental	19790495	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291019	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	243	skin	41.85 N 87.65 W	8-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-330-HSAP-USA-19-MM-8-HA-DRY-F	SRP287343
SRR12823376	AMPLICON	602	29504622	PRJNA669115	SAMN16434797	Metagenome or environmental	19262368	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,ncbi,s3"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291018	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	239	skin	41.85 N 87.65 W	8-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-329-HSAP-USA-19-MM-8-AP-DRY-F	SRP287343
SRR12823377	AMPLICON	602	28311458	PRJNA669115	SAMN16434659	Metagenome or environmental	18559421	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"ncbi,s3,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291017	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	101	skin	41.85 N 87.65 W	18-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-328-HSAP-USA-19-MM-18-HA-DRY-F	SRP287343
SRR12823378	AMPLICON	602	34378414	PRJNA669115	SAMN16434747	Metagenome or environmental	22382620	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,gs,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291016	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	189	skin	41.85 N 87.65 W	3-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-327-HSAP-USA-19-MM-3-HA-DRY-F	SRP287343
SRR12823379	AMPLICON	602	38754954	PRJNA669115	SAMN16434591	Metagenome or environmental	25571710	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"s3,gs,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291015	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	33	skin	41.85 N 87.65 W	11-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-325-HSAP-USA-19-MM-11-HA-DRY-F	SRP287343
SRR12823380	AMPLICON	602	49599984	PRJNA669115	SAMN16434799	Metagenome or environmental	33148347	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291014	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	241	skin	41.85 N 87.65 W	8-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-326-HSAP-USA-19-MM-8-FH-DRY-F	SRP287343
SRR12823381	AMPLICON	602	38854284	PRJNA669115	SAMN16434587	Metagenome or environmental	25730322	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,gs,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291013	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	29	skin	41.85 N 87.65 W	11-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-324-HSAP-USA-19-MM-11-AP-DRY-F	SRP287343
SRR12823382	AMPLICON	602	43501122	PRJNA669115	SAMN16434589	Metagenome or environmental	28595460	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291079	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	31	skin	41.85 N 87.65 W	11-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-323-HSAP-USA-19-MM-11-FH-DRY-F	SRP287343
SRR12823383	AMPLICON	602	26452482	PRJNA669115	SAMN16434623	Metagenome or environmental	17079862	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291011	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	65	skin	19.18 N 96.14 W	15-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-264-HSAP-MEX-19-MM-15-AP-DRY-F	SRP287343
SRR12823384	AMPLICON	602	5419806	PRJNA669115	SAMN16434675	Metagenome or environmental	3619460	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"gs,s3,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291010	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	117	skin	19.18 N 96.14 W	2-MEX-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:06:00Z	1	Amato-185-HSAP-MEX-19-MM-2-FH-DRY-F	SRP287343
SRR12823385	AMPLICON	602	29656326	PRJNA669115	SAMN16434563	Metagenome or environmental	19208332	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291009	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	5	skin	19.18 N 96.14 W	1-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-179-HSAP-MEX-19-MM-1-HA-DRY-F	SRP287343
SRR12823386	AMPLICON	602	40426708	PRJNA669115	SAMN16434795	Metagenome or environmental	26642363	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"gs,s3,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291007	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	237	skin	19.18 N 96.14 W	8-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-242-HSAP-MEX-19-MM-8-HA-DRY-F	SRP287343
SRR12823387	AMPLICON	602	35460208	PRJNA669115	SAMN16434773	Metagenome or environmental	23186855	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291006	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	215	skin	19.18 N 96.14 W	6-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-241-HSAP-MEX-19-MM-6-HA-DRY-F	SRP287343
SRR12823388	AMPLICON	602	29780338	PRJNA669115	SAMN16434597	Metagenome or environmental	19595969	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"ncbi,s3,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291005	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	39	skin	19.18 N 96.14 W	12-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-240-HSAP-MEX-19-MM-12-HA-DRY-F	SRP287343
SRR12823389	AMPLICON	602	28522760	PRJNA669115	SAMN16434603	Metagenome or environmental	18892825	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,s3,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291004	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	45	skin	19.18 N 96.14 W	13-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-239-HSAP-MEX-19-MM-13-HA-DRY-F	SRP287343
SRR12823390	AMPLICON	602	28812924	PRJNA669115	SAMN16434635	Metagenome or environmental	19128423	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"ncbi,gs,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291003	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	77	skin	19.18 N 96.14 W	16-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-238-HSAP-MEX-19-MM-16-HA-DRY-F	SRP287343
SRR12823391	AMPLICON	602	33017894	PRJNA669115	SAMN16434687	Metagenome or environmental	22022865	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"ncbi,s3,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX9291002	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	129	skin	19.18 N 96.14 W	20-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-237-HSAP-MEX-19-MM-20-HA-DRY-F	SRP287343
SRR12823392	AMPLICON	602	41178004	PRJNA669115	SAMN16434645	Metagenome or environmental	26747785	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"ncbi,gs,s3"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291001	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	87	skin	19.18 N 96.14 W	17-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-236-HSAP-MEX-19-MM-17-HA-DRY-F	SRP287343
SRR12823393	AMPLICON	602	38812746	PRJNA669115	SAMN16434803	Metagenome or environmental	26110624	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"ncbi,s3,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291000	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	245	skin	19.18 N 96.14 W	9-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-226-HSAP-MEX-19-MM-9-AP-DRY-F	SRP287343
SRR12823394	AMPLICON	602	34919612	PRJNA669115	SAMN16434571	Metagenome or environmental	22668657	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"gs,s3,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9290999	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	13	skin	19.18 N 96.14 W	10-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-225-HSAP-MEX-19-MM-10-AP-DRY-F	SRP287343
SRR12823395	AMPLICON	602	27706448	PRJNA669115	SAMN16434677	Metagenome or environmental	18167011	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"ncbi.public,s3.us-east-1,gs.US"	SRX9290998	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	119	skin	19.18 N 96.14 W	2-MEX-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-182-HSAP-MEX-19-MM-2-HA-DRY-F	SRP287343
SRR12823396	AMPLICON	602	33058228	PRJNA669115	SAMN16434791	Metagenome or environmental	21252435	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"ncbi,s3,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX9290997	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	233	skin	19.18 N 96.14 W	8-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-224-HSAP-MEX-19-MM-8-AP-DRY-F	SRP287343
SRR12823397	AMPLICON	602	32043256	PRJNA669115	SAMN16434771	Metagenome or environmental	21425725	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9290996	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	213	skin	19.18 N 96.14 W	6-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-223-HSAP-MEX-19-MM-6-AP-DRY-F	SRP287343
SRR12823398	AMPLICON	602	31208282	PRJNA669115	SAMN16434593	Metagenome or environmental	20758307	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,ncbi,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9290995	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	35	skin	19.18 N 96.14 W	12-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-222-HSAP-MEX-19-MM-12-AP-DRY-F	SRP287343
SRR12823399	AMPLICON	602	38066868	PRJNA669115	SAMN16434599	Metagenome or environmental	24606328	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"ncbi,s3,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9290994	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	41	skin	19.18 N 96.14 W	13-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-221-HSAP-MEX-19-MM-13-AP-DRY-F	SRP287343
SRR12823400	AMPLICON	602	39236554	PRJNA669115	SAMN16434631	Metagenome or environmental	25278510	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9290993	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	73	skin	19.18 N 96.14 W	16-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-220-HSAP-MEX-19-MM-16-AP-DRY-F	SRP287343
SRR12823401	AMPLICON	602	35548702	PRJNA669115	SAMN16434683	Metagenome or environmental	22937517	NORTHWESTERN UNIVERSITY	2019	public	"sra,run.zq,fastq"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9290992	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	125	skin	41.85 N 87.65 W	20-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-219-HSAP-MEX-19-MM-20-AP-DRY-F	SRP287343
SRR12823402	AMPLICON	602	39346720	PRJNA669115	SAMN16434643	Metagenome or environmental	26032591	NORTHWESTERN UNIVERSITY	2019	public	"fastq,run.zq,sra"	"s3,ncbi,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX9290991	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	85	skin	19.18 N 96.14 W	17-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-218-HSAP-MEX-19-MM-17-AP-DRY-F	SRP287343
SRR12823403	AMPLICON	602	29235528	PRJNA669115	SAMN16434573	Metagenome or environmental	19130686	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"ncbi,s3,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX9290990	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	15	skin	19.18 N 96.14 W	10-MEX-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-207-HSAP-MEX-19-MM-10-FH-DRY-F	SRP287343
SRR12823404	AMPLICON	602	24137190	PRJNA669115	SAMN16434793	Metagenome or environmental	15775264	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9290989	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	235	skin	19.18 N 96.14 W	8-MEX-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-206-HSAP-MEX-19-MM-8-FH-DRY-F	SRP287343
SRR12823405	AMPLICON	602	41030514	PRJNA669115	SAMN16434595	Metagenome or environmental	27051517	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"ncbi,gs,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX9290988	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	37	skin	19.18 N 96.14 W	12-MEX-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:07:00Z	1	Amato-205-HSAP-MEX-19-MM-12-FH-DRY-F	SRP287343
