Feature ID	Taxon
seq3639	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_7; none
seq3640	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Conexibacter; none
seq3641	Bacteria; Firmicutes; Bacilli; Entomoplasmatales; type III; none; none
seq3642	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Enhydrobacter; none
seq3643	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq3644	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; Nitrosospira; none
seq3645	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter; none
seq3646	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Aurantisolimonas; none
seq3647	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter; none
seq3648	Bacteria; Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Coleofasciculaceae; Microcoleus PCC-7113; steenstrupii
seq3649	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq3650	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq3651	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Amaricoccus; none
seq3652	Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; none; none
seq3653	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter; none
seq3654	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; none; none
seq3655	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; none; none
seq3656	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Inhella; inkyongensis
seq3657	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; none
seq3658	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lapidilactobacillus; none
seq3659	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Dechloromonas; none
seq3660	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; none; none
seq3661	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; MND1; none
seq3662	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq3663	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Dyadobacter; none
seq3664	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; none; none
seq3665	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; none; none
seq3666	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq3667	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; none
seq3668	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Pluralibacter; none
seq3669	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq3670	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq3671	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Tatumella; ptyseos
seq3672	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; none
seq3673	Bacteria; Proteobacteria; Alphaproteobacteria; Azospirillales; Azospirillaceae; Skermanella; none
seq3674	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Asticcacaulis; none
seq3675	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq3676	Bacteria; Firmicutes; Clostridia; Oscillospirales; Ruminococcaceae; Subdoligranulum; none
seq3677	Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineococcus; none
seq3678	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella; none
seq3679	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; none
seq3680	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Dermacoccaceae; Dermacoccus; none
seq3681	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq3682	Bacteria; Actinobacteriota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Atopobium; vaginae
seq3683	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq3684	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_7; none
seq3685	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Peptoniphilus; none
seq3686	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq3687	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia; none
seq3688	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; pyruviciproducens
seq3689	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Blautia; none
seq3690	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; none; none
seq3691	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; mastitidis/oculi
seq3692	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Hungatella; effluvii/hathewayi
seq3693	Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Nitrospira; nitrificans
seq3694	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq3695	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; none; none
seq3696	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC-I-84; none; none
seq3697	Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; none; none; none
seq3698	Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium; none
seq3699	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Marmoricola; aequoreus
seq3700	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; none
seq3701	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; none
seq3702	Bacteria; Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Nostocaceae; Tolypothrix; none
seq3703	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq3704	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pedomicrobium; none
seq3705	Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; JGI 0001001-H03; none
seq3706	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter; none
seq3707	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; none
seq3708	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingorhabdus; none
seq3709	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Pseudoclavibacter; faecalis
seq3710	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Psychroglaciecola; none
seq3711	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq3712	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas; terrae
seq3713	Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30-KF-CM45; none; none
seq3714	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; chlororaphis/corrugata/ficuserectae/fluorescens/protegens/putida/saponiphila/sesami/stutzeri/syringae
seq3715	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; none
seq3716	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; aquicola
seq3717	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Intrasporangiaceae; Ornithinimicrobium; humiphilum/pekingense
seq3718	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; none; none
seq3719	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; none
seq3720	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Mesorhizobium; none
seq3721	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingorhabdus; pacifica
seq3722	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Murdochiella; none
seq3723	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq3724	Bacteria; Acidobacteriota; Vicinamibacteria; Subgroup 17; none; none; none
seq3725	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Microbacterium; none
seq3726	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; limicola/psychrolimnae
seq3727	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rubellimicrobium; none
seq3728	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Bergeyella; none
seq3729	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Candidatus Nostocoida; none
seq3730	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Capnocytophaga; none
seq3731	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; none
seq3732	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq3733	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; none
seq3734	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq3735	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Peptostreptococcus; anaerobius
seq3736	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; none
seq3737	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67-14; none; none
seq3738	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq3739	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium; none
seq3740	Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Quadrisphaera; none
seq3741	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; none; none; none
seq3742	Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; none; none
seq3743	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium; none
seq3744	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; none
seq3745	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Conexibacter; none
seq3746	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; none; none
seq3747	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Tundrisphaera; none
seq3748	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter; henricii
seq3749	Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Polyangium; none
seq3750	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter; none
seq3751	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Leucobacter; aerolatus/exalbidus/salsicius
seq3752	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; resistens
seq3753	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Undibacterium; aquatile
seq3754	Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; Blastocatella; none
seq3755	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Anseongella; none
seq3756	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingobium; none
seq3757	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; [Eubacterium] eligens group; none
seq3758	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; MND1; none
seq3759	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; none
seq3760	Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; none; none; none
seq3761	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; none
seq3762	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; none
seq3763	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; none
seq3764	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; none
seq3765	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; none; none
seq3766	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; none
seq3767	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Jatrophihabitans; none
seq3768	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Tessaracoccus; none
seq3769	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; none; none
seq3770	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Roseomonas; none
seq3771	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Helcococcus; sueciensis
seq3772	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Dermabacteraceae; Dermabacter; jinjuensis
seq3773	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; none
seq3774	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq3775	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; none
seq3776	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; none; none
seq3777	Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelotrichaceae; Faecalitalea; none
seq3778	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Selenomonadaceae; Selenomonas; none
seq3779	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq3780	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Epulopiscium; none
seq3781	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; none; none
seq3782	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae XPB1014 group; none
seq3783	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; none; none
seq3784	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq3785	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium; none
seq3786	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Spirosoma; none
seq3787	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium; canariense/erythrophlei/japonicum/lablabi/lupini
seq3788	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pedomicrobium; none
seq3789	Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41; none
seq3790	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter; none
seq3791	Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; none; none; none
seq3792	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; none
seq3793	Bacteria; Deinococcota; Deinococci; Deinococcales; Deinococcaceae; Deinococcus; none
seq3794	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoanaerobaculum; none
seq3795	Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Steroidobacter; flavus
seq3796	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Rubritepida; none
seq3797	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; desiccabilis/leidyi
seq3798	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Nakamurellaceae; Nakamurella; none
seq3799	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; aurum/austroafricanum/hodleri/rhodesiae/vaccae/vanbaalenii
seq3800	Bacteria; Actinobacteriota; Acidimicrobiia; IMCC26256; none; none; none
seq3801	Bacteria; Deinococcota; Deinococci; Deinococcales; Deinococcaceae; Deinococcus; radiodurans
seq3802	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; none
seq3803	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Herbiconiux; ginsengi/solani
seq3804	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq3805	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq3806	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; none
seq3807	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; none; none
seq3808	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq3809	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; none; none; none
seq3810	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Cnuella; none
seq3811	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; none
seq3812	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq3813	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq3814	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Xanthobacter; none
seq3815	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys; none
seq3816	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Duganella; none
seq3817	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq3818	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; none
seq3819	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Solirubrobacter; none
seq3820	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; none
seq3821	Bacteria; Armatimonadota; Armatimonadia; Armatimonadales; none; none; none
seq3822	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; nigrescens
seq3823	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidales RF16 group; none; none
seq3824	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; none
seq3825	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq3826	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Bosea; none
seq3827	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Roseomonas; none
seq3828	Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; none; none; none
seq3829	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Microscillaceae; none; none
seq3830	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Erythrobacter; none
seq3831	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotellaceae Ga6A1 group; none
seq3832	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; none; none
seq3833	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Ferruginibacter; none
seq3834	Bacteria; Firmicutes; Clostridia; Clostridia UCG-014; none; none; none
seq3835	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Leuconostoc; none
seq3836	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter; none
seq3837	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; none; none
seq3838	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; none
seq3839	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Devosia; none
seq3840	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Alkanindiges; none
seq3841	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Spirosoma; none
seq3842	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; Fimbriiglobus; none
seq3843	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq3844	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Pelagibacterium; none
seq3845	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq3846	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter; none
seq3847	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; none
seq3848	Bacteria; Firmicutes; Clostridia; Clostridia UCG-014; none; none; none
seq3849	Bacteria; Actinobacteriota; Coriobacteriia; Coriobacteriales; Eggerthellaceae; none; none
seq3850	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Dialister; none
seq3851	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq3852	Bacteria; Actinobacteriota; Actinobacteria; none; none; none; none
seq3853	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; none
seq3854	Bacteria; Actinobacteriota; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Parascardovia; denticolens
seq3855	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Fenollaria; none
seq3856	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Leucobacter; none
seq3857	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_7; none
seq3858	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; none; none
seq3859	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC-I-84; none; none
seq3860	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Roseomonas; none
seq3861	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingorhabdus; none
seq3862	Bacteria; none; none; none; none; none; none
seq3863	Bacteria; Proteobacteria; Alphaproteobacteria; Reyranellales; Reyranellaceae; Reyranella; none
seq3864	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; none
seq3865	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; marinum
seq3866	Bacteria; none; none; none; none; none; none
seq3867	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; muciniphila
seq3868	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq3869	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; none
seq3870	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; [Eubacterium] hallii group; none
seq3871	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; none
seq3872	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; none
seq3873	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; hydrogenalis/rubeinfantis
seq3874	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; none; none
seq3875	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Peptoanaerobacter; none
seq3876	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; none
seq3877	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Roseburia; none
seq3878	Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Cardiobacteriaceae; Cardiobacterium; valvarum
seq3879	Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; europaeus/urinae
seq3880	Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Marvinbryantia; none
seq3881	Bacteria; Firmicutes; Clostridia; Oscillospirales; Oscillospiraceae; NK4A214 group; none
seq3882	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; none; none
seq3883	Bacteria; Deinococcota; Deinococci; Deinococcales; Deinococcaceae; Deinococcus; none
seq3884	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium sensu stricto 1; none
seq3885	Bacteria; Chloroflexi; AD3; none; none; none; none
seq3886	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Aminobacter; none
seq3887	Bacteria; Firmicutes; Clostridia; Oscillospirales; Butyricicoccaceae; none; none
seq3888	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; none; none
seq3889	Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter; none
